distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.27,1.44,1.21,0.0,0.0,1
0.26,1.45,1.22,0.01,0.01,1
0.26,1.45,1.22,0.0,0.01,1
0.27,1.45,1.23,0.02,0.01,1
0.24,1.41,1.24,0.06,0.01,1
0.22,1.32,1.23,0.09,0.02,1
0.24,1.24,1.22,0.09,0.01,1
0.25,1.2,1.22,0.04,0.01,1
0.25,1.2,1.23,0.01,0.02,1
0.25,1.21,1.26,0.03,0.03,1
0.29,1.28,1.32,0.08,0.06,1
0.49,1.34,1.36,0.1,0.13,1
1.68,1.5,1.48,0.59,0.74,1
1.11,1.38,1.4,0.32,0.46,1
0.36,1.19,1.13,0.4,0.49,1
0.27,1.14,1.05,0.06,0.11,1
0.3,1.16,1.08,0.04,0.04,1
0.34,1.19,1.06,0.03,0.04,1
0.34,1.17,1.14,0.02,0.1,1
0.58,1.17,0.92,0.01,0.28,1
0.62,1.16,0.74,0.03,0.33,1
0.43,1.2,0.9,0.07,0.21,1
0.45,0.71,1.01,0.5,0.14,1
0.3,1.11,1.06,0.41,0.08,1
0.2,1.11,1.03,0.09,0.06,1
0.21,1.16,1.11,0.07,0.08,1
0.2,1.21,1.17,0.05,0.06,1
0.23,1.17,1.15,0.04,0.04,1
0.26,1.17,1.14,0.01,0.04,1
0.31,1.2,1.18,0.03,0.06,1
0.3,1.18,1.15,0.03,0.03,1
0.31,1.18,1.15,0.0,0.01,1
0.34,1.19,1.16,0.04,0.04,1
0.38,1.19,1.17,0.04,0.03,1
0.57,1.28,1.3,0.14,0.16,1
0.82,1.29,1.34,0.14,0.13,1
1.07,0.62,0.63,0.68,0.74,1
0.63,1.13,1.03,0.55,0.49,1
0.26,1.02,0.99,0.2,0.2,1
0.33,1.27,1.29,0.27,0.31,1
0.37,0.78,0.86,0.51,0.46,1
0.28,1.01,0.9,0.26,0.29,1
0.17,1.0,0.95,0.07,0.11,1
0.19,1.02,0.96,0.03,0.02,1
0.32,1.2,1.09,0.21,0.14,1
0.35,1.24,1.23,0.06,0.14,1
0.32,1.18,1.2,0.08,0.04,1
0.32,1.19,1.21,0.03,0.04,1
0.35,1.24,1.21,0.06,0.01,1
0.94,1.52,1.21,0.64,0.02,1
0.59,1.18,1.22,0.43,0.04,1
0.23,0.96,1.13,0.44,0.11,1
0.43,0.98,1.23,0.07,0.27,1
0.91,1.01,1.61,0.08,0.55,1
1.2,1.02,1.83,0.03,0.34,1
0.42,1.06,1.12,0.05,0.87,1
0.25,1.13,1.09,0.09,0.21,1
0.23,1.12,1.15,0.09,0.11,1
0.29,1.18,1.24,0.12,0.14,1
0.37,0.7,0.69,0.53,0.61,1
0.2,1.08,1.09,0.38,0.44,1
1.64,1.6,1.56,0.87,0.88,1
0.84,1.41,1.39,0.43,0.51,1
0.23,0.61,0.58,0.89,0.85,1
0.31,0.78,0.77,0.21,0.19,1
0.19,1.02,0.97,0.25,0.26,1
0.28,1.1,1.0,0.12,0.04,1
0.92,1.65,1.03,0.67,0.06,1
1.05,1.75,1.14,0.14,0.14,1
0.33,0.95,1.06,0.9,0.18,1
0.23,1.0,1.05,0.1,0.01,1
0.41,1.1,1.23,0.14,0.33,1
1.19,1.14,1.95,0.08,0.91,1
0.75,1.16,1.52,0.04,0.5,1
0.3,1.19,1.08,0.03,0.59,1
0.19,1.1,1.09,0.1,0.1,1
0.3,1.02,1.25,0.18,0.27,1
0.53,1.08,1.37,0.23,0.16,1
1.5,1.21,1.37,1.07,1.05,1
0.7,0.96,1.0,0.45,0.69,1
0.23,1.03,1.09,0.32,0.22,1
0.22,1.37,1.37,0.36,0.29,1
0.34,0.64,0.65,0.74,0.74,1
0.31,0.84,0.84,0.36,0.34,1
0.24,1.0,0.95,0.17,0.13,1
0.29,1.11,1.11,0.11,0.17,1
0.44,1.13,1.26,0.04,0.19,1
0.54,1.03,0.66,0.1,0.61,1
0.35,1.18,0.94,0.16,0.29,1
0.28,1.2,1.09,0.02,0.16,1
0.43,1.2,1.28,0.01,0.25,1
0.99,1.21,1.39,0.03,0.61,1
0.45,1.21,1.01,0.01,0.69,1
0.28,1.2,1.13,0.02,0.19,1
0.6,1.38,1.43,0.27,0.36,1
1.43,1.99,1.95,0.73,0.73,1
0.89,1.62,1.56,0.42,0.52,1
0.49,1.36,1.31,0.38,0.3,1
0.75,0.6,1.23,0.78,0.11,1
0.55,1.13,1.31,0.59,0.13,1
1.03,1.45,1.29,0.64,0.02,1
0.59,1.11,1.29,0.52,0.08,1
0.22,1.11,1.2,0.35,0.1,1
0.21,1.27,1.29,0.2,0.11,1
0.3,0.78,0.8,0.51,0.52,1
0.21,0.92,0.91,0.31,0.32,1
0.22,1.0,1.09,0.11,0.21,1
0.89,1.0,1.02,0.68,0.07,1
0.41,0.83,1.0,0.52,0.08,1
0.61,0.88,1.07,0.29,0.48,1
0.67,0.96,0.85,0.09,0.41,1
0.23,1.04,0.92,0.1,0.46,1
0.34,1.15,1.2,0.17,0.28,1
0.99,1.69,1.74,0.66,0.66,1
1.39,1.93,1.93,0.37,0.46,1
0.64,1.34,1.26,0.7,0.78,1
0.38,1.16,1.21,0.25,0.16,1
0.48,1.18,0.8,0.05,0.45,1
0.46,0.68,0.9,0.54,0.14,1
0.36,0.92,1.05,0.3,0.15,1
0.26,0.84,0.84,0.08,0.22,1
0.31,0.94,0.95,0.35,0.3,1
0.42,1.64,1.57,0.82,0.72,1
0.38,1.38,1.3,0.28,0.29,1
0.26,1.29,1.24,0.11,0.08,1
0.22,1.26,1.23,0.04,0.03,1
0.22,1.29,1.27,0.04,0.06,1
0.35,0.61,0.58,0.68,0.7,1
0.4,0.84,0.8,0.24,0.24,1
0.32,0.83,0.81,0.02,0.09,1
0.36,0.62,0.65,0.22,0.18,1
0.38,1.74,1.69,1.13,1.06,1
0.44,1.66,1.62,0.11,0.1,1
0.31,1.29,1.34,0.52,0.47,1
0.47,0.66,0.65,0.71,0.79,1
0.35,0.92,0.94,0.29,0.38,1
1.3,1.51,1.51,0.77,0.77,1
1.63,1.48,1.38,0.42,0.41,1
0.45,0.96,0.92,0.79,0.8,1
0.17,1.0,1.04,0.21,0.18,1
0.36,1.19,1.27,0.23,0.26,1
1.5,2.02,1.92,0.98,0.94,1
0.99,1.61,1.42,0.48,0.58,1
0.18,0.98,0.95,0.74,0.63,1
0.23,1.1,1.09,0.16,0.16,1
0.3,1.2,1.21,0.19,0.16,1
0.31,0.77,0.73,0.47,0.51,1
0.31,0.91,0.91,0.14,0.19,1
0.53,1.02,1.29,0.12,0.43,1
0.73,0.93,0.67,0.09,0.65,1
0.51,1.06,0.76,0.13,0.41,1
0.64,1.22,0.82,0.25,0.14,1
0.74,0.6,0.82,0.67,0.07,1
0.4,0.8,0.93,0.36,0.12,1
0.3,1.03,1.03,0.31,0.12,1
0.27,1.36,1.34,0.34,0.32,1
0.3,0.65,0.61,0.71,0.73,1
0.25,0.91,0.88,0.32,0.32,1
0.35,0.6,0.64,0.31,0.25,1
0.43,1.82,1.76,1.24,1.17,1
0.32,1.59,1.54,0.26,0.34,1
0.28,1.15,1.17,0.44,0.42,1
1.02,1.16,1.49,0.03,0.73,1
0.64,1.14,1.01,0.13,0.54,1
0.31,1.08,0.84,0.07,0.45,1
0.27,1.05,0.87,0.05,0.04,1
0.43,1.18,0.9,0.2,0.05,1
1.13,1.41,0.96,0.77,0.06,1
0.37,1.01,1.01,0.74,0.07,1
0.24,0.99,1.01,0.17,0.04,1
0.4,1.04,1.23,0.05,0.28,1
0.99,1.4,0.8,0.38,0.75,1
0.93,1.59,0.79,0.22,0.39,1
0.78,1.57,0.94,0.14,0.34,1
0.55,1.26,0.9,0.53,0.11,1
0.59,0.67,0.89,0.64,0.05,1
0.33,0.87,1.08,0.38,0.2,1
0.5,0.99,0.67,0.14,0.43,1
0.6,1.08,0.77,0.1,0.19,1
0.48,0.92,0.81,0.24,0.13,1
0.35,0.82,0.87,0.3,0.13,1
0.22,0.99,0.99,0.19,0.19,1
0.22,1.36,1.37,0.38,0.39,1
0.35,0.62,0.58,0.74,0.8,1
0.28,0.87,0.83,0.27,0.26,1
0.18,0.87,0.86,0.04,0.07,1
0.18,0.87,0.88,0.01,0.02,1
0.2,0.91,0.93,0.05,0.07,1
0.48,1.21,1.31,0.33,0.41,1
1.47,2.06,1.97,0.98,0.92,1
1.12,1.64,1.46,0.45,0.58,1
0.36,1.05,0.95,0.69,0.65,1
0.22,1.04,0.92,0.1,0.1,1
0.27,1.09,0.96,0.08,0.05,1
0.32,1.12,1.08,0.08,0.15,1
0.33,1.1,1.17,0.05,0.1,1
0.36,1.13,1.19,0.06,0.05,1
0.47,1.28,1.37,0.19,0.2,1
1.72,1.44,1.47,0.63,0.8,1
1.39,1.35,1.33,0.17,0.28,1
0.61,0.76,0.89,0.66,0.69,1
1.05,1.72,1.08,0.97,0.23,1
0.56,0.99,0.9,0.78,0.18,1
1.02,0.95,1.54,0.15,0.79,1
0.61,0.99,1.15,0.07,0.43,1
0.28,1.02,1.01,0.04,0.36,1
0.32,1.3,1.37,0.34,0.38,1
0.31,0.72,0.8,0.59,0.58,1
1.65,1.64,1.48,1.2,1.08,1
0.67,1.03,1.1,0.82,0.79,1
0.18,0.99,0.95,0.32,0.24,1
0.23,1.02,1.0,0.03,0.09,1
0.25,1.26,1.28,0.26,0.3,1
0.41,0.75,0.76,0.54,0.54,1
1.35,1.45,1.42,0.92,0.81,1
1.04,1.33,1.29,0.2,0.23,1
0.35,1.22,1.29,0.56,0.37,1
0.33,0.74,0.71,0.52,0.61,1
0.24,0.91,0.89,0.2,0.18,1
0.7,1.1,0.89,0.49,0.02,1
0.91,0.92,1.03,0.41,0.17,1
0.98,0.82,0.9,0.43,0.57,1
0.23,1.04,1.04,0.3,0.66,1
1.71,1.62,1.57,0.96,0.94,1
0.85,1.17,1.09,0.61,0.7,1
0.54,1.17,1.25,0.26,0.18,1
1.06,1.16,1.23,0.28,0.28,1
1.21,0.78,0.76,0.42,0.5,1
0.72,1.06,0.95,0.38,0.31,1
0.66,0.65,0.65,0.41,0.3,1
1.09,1.39,1.37,0.8,0.77,1
0.67,1.57,1.48,0.41,0.3,1
0.38,1.38,1.38,0.29,0.22,1
0.32,0.59,0.59,0.8,0.79,1
0.42,0.77,0.77,0.2,0.2,1
0.55,0.85,1.09,0.09,0.54,1
0.7,0.86,1.45,0.04,0.45,1
0.54,0.6,0.92,0.26,0.54,1
0.71,1.57,1.14,0.99,0.23,1
0.44,1.3,1.33,0.27,0.25,1
1.75,1.54,1.51,0.71,0.8,1
0.9,1.17,1.17,0.54,0.68,1
0.69,1.05,1.36,0.31,0.19,1
0.69,1.06,0.68,0.05,0.7,1
0.78,0.63,0.79,0.56,0.19,1
0.5,0.76,0.93,0.31,0.14,1
0.37,0.91,0.97,0.28,0.08,1
0.31,1.17,1.21,0.33,0.27,1
