distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.4,1.11,1.03,0.0,0.0,1
0.4,1.11,1.03,0.01,0.0,1
0.39,1.12,1.05,0.01,0.02,1
0.26,1.2,1.15,0.14,0.11,1
0.27,1.19,1.15,0.02,0.0,1
0.3,1.24,1.19,0.05,0.04,1
0.3,1.24,1.2,0.01,0.01,1
0.31,1.25,1.21,0.01,0.01,1
0.32,1.27,1.22,0.02,0.01,1
0.34,1.34,1.28,0.07,0.06,1
0.39,1.45,1.39,0.11,0.11,1
0.45,0.87,0.91,0.58,0.49,1
0.86,1.32,1.27,0.52,0.43,1
0.47,1.32,1.28,0.21,0.22,1
0.35,1.4,1.38,0.1,0.12,1
0.3,1.38,1.37,0.03,0.04,1
0.27,1.39,1.38,0.02,0.01,1
0.26,1.41,1.39,0.02,0.02,1
0.24,1.44,1.41,0.06,0.04,1
0.3,1.26,1.1,0.22,0.32,1
0.66,1.38,0.82,0.12,0.34,1
0.36,0.86,0.98,0.52,0.18,1
0.41,1.39,1.21,0.57,0.24,1
0.35,1.36,1.25,0.06,0.04,1
0.29,1.12,1.2,0.24,0.05,1
0.31,1.18,1.2,0.07,0.01,1
0.33,1.19,1.19,0.05,0.02,1
0.32,1.24,1.23,0.05,0.04,1
0.31,1.25,1.23,0.03,0.02,1
0.29,1.24,1.23,0.02,0.0,1
0.3,1.24,1.23,0.01,0.02,1
0.3,1.25,1.24,0.01,0.01,1
0.31,1.23,1.23,0.02,0.02,1
0.4,1.32,1.29,0.1,0.07,1
0.52,1.59,1.54,0.31,0.28,1
0.67,0.72,0.75,0.87,0.8,1
0.69,1.5,1.42,0.78,0.67,1
0.59,1.56,1.5,0.09,0.11,1
0.42,1.58,1.54,0.08,0.1,1
0.25,1.5,1.48,0.14,0.15,1
0.22,0.89,0.89,0.63,0.6,1
0.37,1.51,1.46,0.66,0.6,1
0.37,1.45,1.43,0.07,0.07,1
0.34,1.32,1.22,0.15,0.23,1
0.28,1.1,0.98,0.24,0.24,1
0.33,1.14,1.13,0.06,0.16,1
0.35,1.14,1.09,0.02,0.05,1
0.31,1.15,1.12,0.03,0.03,1
0.5,1.23,1.16,0.21,0.04,1
0.77,1.3,1.18,0.51,0.11,1
0.33,1.07,1.21,0.36,0.2,1
0.47,1.09,1.14,0.07,0.13,1
0.95,1.1,1.55,0.05,0.59,1
0.67,1.12,1.49,0.17,0.16,1
0.81,1.12,1.73,0.11,0.35,1
0.32,1.15,1.12,0.18,0.7,1
0.32,1.59,1.6,0.45,0.48,1
0.28,1.59,1.6,0.06,0.02,1
0.28,0.76,0.79,0.83,0.82,1
0.39,1.48,1.49,0.73,0.71,1
0.18,1.36,1.37,0.16,0.17,1
1.39,1.34,1.38,0.62,0.65,1
0.63,1.54,1.52,0.43,0.41,1
0.37,0.91,1.05,0.66,0.55,1
0.41,1.49,1.45,0.58,0.42,1
0.37,1.45,1.44,0.06,0.01,1
0.44,0.94,1.15,0.51,0.3,1
0.87,1.71,1.16,0.82,0.02,1
0.8,1.68,1.18,0.17,0.06,1
0.57,1.22,1.13,0.54,0.05,1
0.43,1.04,1.07,0.21,0.07,1
0.78,1.02,1.3,0.11,0.34,1
0.98,1.03,1.57,0.1,0.32,1
0.38,1.14,1.06,0.33,0.57,1
0.29,1.2,1.16,0.1,0.14,1
0.32,1.26,1.25,0.08,0.1,1
0.67,1.23,1.26,0.39,0.03,1
0.51,1.37,1.23,0.96,0.68,1
0.57,1.53,1.0,0.66,0.81,1
0.82,1.07,0.95,0.59,0.4,1
0.49,1.59,1.55,0.58,0.61,1
0.39,1.67,1.65,0.09,0.15,1
0.36,0.69,0.71,0.98,0.94,1
0.41,1.34,1.29,0.67,0.6,1
0.42,1.45,1.43,0.16,0.21,1
0.38,1.44,1.44,0.02,0.03,1
0.42,1.42,1.47,0.08,0.04,1
0.57,1.4,1.04,0.03,0.43,1
0.42,1.36,1.32,0.04,0.28,1
0.41,1.38,1.34,0.09,0.09,1
0.46,1.33,1.3,0.09,0.05,1
0.77,1.37,1.39,0.1,0.43,1
0.48,1.36,1.26,0.09,0.29,1
0.36,1.22,1.21,0.15,0.12,1
0.37,1.2,1.2,0.05,0.03,1
1.13,1.64,1.62,0.6,0.63,1
0.54,1.31,1.34,0.45,0.44,1
0.45,1.46,1.31,0.19,0.07,1
0.57,1.02,1.29,0.45,0.03,1
0.41,1.33,1.27,0.33,0.03,1
0.9,1.27,1.26,0.52,0.02,1
0.65,1.35,1.31,0.29,0.06,1
0.39,1.52,1.48,0.3,0.2,1
0.36,1.54,1.52,0.06,0.05,1
0.29,0.79,0.84,0.76,0.7,1
