distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.28,1.08,1.08,0.0,0.0,1
0.27,1.08,1.08,0.01,0.0,1
0.21,1.11,1.08,0.08,0.0,1
0.22,1.09,1.07,0.03,0.01,1
0.24,1.05,1.04,0.04,0.03,1
0.2,1.05,1.04,0.05,0.0,1
0.16,1.12,1.06,0.09,0.02,1
0.16,1.16,1.06,0.08,0.01,1
0.23,1.22,1.07,0.11,0.01,1
0.22,1.15,1.08,0.23,0.01,1
0.23,1.15,1.09,0.01,0.01,1
0.58,1.15,1.15,0.14,0.24,1
0.98,1.33,1.32,0.34,0.28,1
0.54,1.4,1.39,0.25,0.21,1
0.4,1.37,1.38,0.08,0.07,1
0.38,1.27,1.28,0.11,0.11,1
0.36,1.27,1.27,0.01,0.02,1
0.39,1.27,1.29,0.02,0.02,1
0.41,1.26,1.34,0.01,0.06,1
0.6,1.22,0.79,0.06,0.55,1
0.44,1.32,0.98,0.12,0.22,1
0.42,0.71,0.98,0.61,0.06,1
0.45,1.31,1.08,0.6,0.11,1
0.29,1.12,1.1,0.21,0.03,1
0.16,1.04,0.99,0.14,0.11,1
0.18,1.11,1.03,0.09,0.09,1
0.14,1.08,1.05,0.03,0.04,1
0.17,1.09,1.05,0.05,0.01,1
0.18,1.08,1.05,0.01,0.0,1
0.31,1.19,1.12,0.13,0.11,1
0.54,1.35,1.3,0.21,0.21,1
0.55,1.36,1.32,0.02,0.02,1
0.62,1.32,1.29,0.06,0.04,1
0.71,1.47,1.39,0.16,0.11,1
0.73,1.67,1.62,0.24,0.26,1
0.98,0.89,0.87,0.82,0.77,1
0.97,1.19,1.22,0.32,0.36,1
0.61,1.49,1.49,0.37,0.33,1
0.45,1.52,1.53,0.09,0.09,1
0.36,1.45,1.47,0.12,0.08,1
0.31,0.72,0.76,0.74,0.72,1
0.31,1.24,1.23,0.52,0.47,1
0.39,1.32,1.28,0.19,0.12,1
0.31,1.04,1.0,0.32,0.29,1
0.26,1.09,1.0,0.13,0.04,1
0.33,1.18,1.07,0.1,0.08,1
0.3,1.18,1.08,0.03,0.01,1
0.28,1.19,1.09,0.02,0.01,1
0.3,1.2,1.1,0.08,0.04,1
0.92,1.42,1.1,0.68,0.04,1
0.57,1.31,1.15,0.3,0.18,1
0.54,1.22,1.11,0.16,0.12,1
0.52,1.21,1.13,0.18,0.16,1
1.07,1.29,1.61,0.17,0.8,1
0.78,1.38,1.34,0.13,0.38,1
0.55,1.45,1.35,0.09,0.27,1
0.39,1.53,1.51,0.1,0.27,1
0.37,1.55,1.55,0.04,0.08,1
0.37,0.87,0.83,0.73,0.78,1
0.27,1.05,1.01,0.23,0.25,1
0.24,1.21,1.18,0.16,0.18,1
1.42,1.34,1.33,0.6,0.72,1
0.48,1.52,1.5,0.52,0.49,1
0.39,1.04,1.05,0.52,0.5,1
0.42,1.43,1.41,0.4,0.37,1
0.44,1.15,1.23,0.29,0.2,1
0.51,1.24,1.21,0.13,0.02,1
1.06,1.75,1.22,0.68,0.05,1
0.74,1.53,1.22,0.37,0.09,1
0.39,1.1,1.05,0.5,0.2,1
0.36,1.15,1.05,0.1,0.05,1
0.48,1.2,1.13,0.07,0.13,1
0.98,1.3,1.59,0.13,0.66,1
0.56,1.35,1.3,0.1,0.42,1
0.33,1.24,1.13,0.13,0.27,1
0.24,1.22,1.17,0.04,0.12,1
0.34,1.1,1.28,0.29,0.23,1
0.42,1.08,1.21,0.62,0.76,1
1.09,1.26,1.28,0.71,0.44,1
0.38,1.05,1.02,0.37,0.58,1
0.44,1.47,1.47,0.43,0.45,1
0.4,1.5,1.53,0.07,0.13,1
0.3,0.83,0.84,0.69,0.71,1
0.37,1.32,1.3,0.49,0.46,1
0.46,1.33,1.47,0.15,0.21,1
0.49,1.3,1.51,0.03,0.04,1
0.65,1.26,1.01,0.06,0.62,1
0.38,1.29,1.06,0.04,0.31,1
0.28,1.29,1.19,0.07,0.17,1
0.29,1.3,1.22,0.02,0.03,1
0.84,1.31,1.32,0.04,0.63,1
0.6,1.33,1.32,0.09,0.28,1
0.4,1.25,1.02,0.1,0.38,1
0.33,1.13,1.01,0.12,0.04,1
0.91,1.43,1.49,0.45,0.67,1
1.0,1.73,1.73,0.4,0.44,1
0.58,1.51,1.46,0.28,0.39,1
0.45,1.41,1.44,0.16,0.05,1
0.59,1.01,1.36,0.41,0.09,1
0.45,1.25,1.37,0.26,0.05,1
0.99,1.39,1.32,0.69,0.09,1
0.59,1.44,1.35,0.32,0.11,1
0.36,1.56,1.53,0.23,0.22,1
0.33,1.52,1.5,0.11,0.04,1
0.36,0.78,0.82,0.75,0.69,1
0.26,1.14,1.03,0.38,0.21,1
0.37,1.12,1.0,0.14,0.05,1
0.93,1.07,0.98,0.64,0.06,1
0.55,1.13,1.01,0.28,0.15,1
1.01,1.19,1.11,0.16,0.65,1
0.53,1.2,1.0,0.16,0.41,1
0.27,1.14,1.05,0.1,0.17,1
0.27,1.09,1.03,0.06,0.05,1
1.19,1.65,1.64,0.7,0.8,1
0.86,1.63,1.58,0.19,0.23,1
0.43,1.25,1.21,0.44,0.44,1
0.65,1.35,0.96,0.13,0.27,1
0.59,1.35,0.89,0.13,0.18,1
0.41,0.81,0.94,0.54,0.06,1
0.32,0.7,0.72,0.19,0.23,1
0.27,0.61,0.62,0.15,0.13,1
0.34,1.23,1.27,0.83,0.8,1
0.38,1.21,1.23,0.24,0.21,1
0.31,0.97,1.01,0.26,0.24,1
0.33,1.34,1.37,0.37,0.36,1
0.33,1.48,1.5,0.16,0.16,1
0.33,1.44,1.46,0.07,0.05,1
0.28,0.8,0.79,0.65,0.68,1
0.36,0.69,0.71,0.22,0.13,1
0.37,0.64,0.63,0.14,0.15,1
