distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.43,0.77,1.08,0.0,0.0,0
0.44,0.77,1.09,0.0,0.01,0
0.45,0.77,1.09,0.0,0.01,0
0.41,0.78,1.03,0.01,0.06,0
0.4,0.95,1.03,0.21,0.05,0
0.33,1.06,1.1,0.12,0.11,0
0.25,1.08,1.09,0.05,0.11,0
0.28,1.08,1.08,0.04,0.01,0
0.26,1.11,1.11,0.03,0.03,0
0.3,1.14,1.14,0.04,0.05,0
0.36,1.17,1.17,0.05,0.04,0
0.44,1.21,1.2,0.06,0.08,0
1.45,1.21,1.11,0.62,0.51,0
0.58,1.18,1.12,0.5,0.44,0
0.26,1.15,1.13,0.15,0.17,0
0.3,1.16,1.14,0.05,0.02,0
0.32,1.16,1.14,0.01,0.01,0
0.36,1.18,1.18,0.05,0.04,0
0.43,1.33,1.23,0.16,0.05,0
0.67,0.81,1.25,0.54,0.03,0
0.67,0.75,1.34,0.24,0.1,0
0.41,0.92,1.25,0.17,0.13,0
0.32,0.9,0.81,0.16,0.44,0
0.27,0.99,1.06,0.21,0.29,0
0.29,1.06,1.1,0.15,0.17,0
0.31,1.08,1.13,0.12,0.14,0
0.25,1.11,1.16,0.06,0.04,0
0.25,1.13,1.17,0.02,0.02,0
0.39,1.17,1.19,0.13,0.03,0
0.48,1.25,1.27,0.17,0.1,0
0.48,1.26,1.31,0.08,0.09,0
0.5,1.28,1.34,0.05,0.04,0
0.49,1.31,1.36,0.06,0.07,0
0.58,1.36,1.41,0.09,0.09,0
0.59,1.43,1.46,0.09,0.07,0
0.57,1.35,1.37,0.09,0.12,0
0.66,0.73,0.68,0.63,0.69,0
0.34,1.14,1.14,0.47,0.48,0
0.26,1.22,1.26,0.09,0.13,0
0.26,1.33,1.37,0.12,0.11,0
0.24,0.8,0.78,0.58,0.63,0
0.19,0.93,0.94,0.24,0.25,0
0.22,1.17,1.19,0.28,0.31,0
0.22,1.18,1.19,0.1,0.1,0
0.24,1.19,1.22,0.04,0.09,0
0.3,1.22,1.22,0.09,0.04,0
0.36,1.24,1.21,0.06,0.04,0
0.35,1.23,1.22,0.01,0.02,0
0.34,1.26,1.23,0.04,0.04,0
0.85,1.25,1.21,0.05,0.57,0
0.56,1.22,1.11,0.16,0.32,0
0.41,1.26,1.18,0.14,0.3,0
0.5,1.22,1.24,0.15,0.08,0
0.78,1.39,1.23,0.33,0.02,0
0.98,1.82,1.25,0.47,0.04,0
0.52,1.39,1.26,0.5,0.09,0
0.24,1.34,1.33,0.25,0.08,0
0.25,1.41,1.42,0.08,0.09,0
0.3,1.36,1.37,0.11,0.06,0
0.3,0.85,0.84,0.52,0.53,0
0.25,1.2,1.17,0.38,0.36,0
1.31,1.22,1.19,0.53,0.54,0
0.46,1.46,1.48,0.5,0.62,0
