distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.46,1.12,1.0,0.0,0.0,0
0.43,1.12,1.01,0.01,0.04,0
0.32,1.16,1.14,0.06,0.16,0
0.31,1.15,1.36,0.07,0.23,0
0.24,1.16,1.3,0.05,0.07,0
0.28,1.19,1.06,0.04,0.25,0
0.26,1.16,1.05,0.06,0.06,0
0.45,1.14,1.08,0.23,0.04,0
0.47,1.12,1.1,0.05,0.08,0
0.33,1.12,1.11,0.11,0.03,0
0.48,1.14,1.12,0.08,0.07,0
0.5,1.14,1.12,0.02,0.0,0
0.43,1.12,1.1,0.04,0.04,0
0.37,1.04,1.04,0.1,0.07,0
0.44,1.06,1.06,0.05,0.05,0
0.98,1.23,1.22,0.37,0.31,0
1.29,1.2,1.2,0.34,0.2,0
0.7,1.0,1.01,0.41,0.32,0
0.31,1.02,1.02,0.24,0.15,0
0.33,1.03,1.01,0.03,0.01,0
0.34,1.08,1.03,0.05,0.02,0
0.39,1.11,1.04,0.04,0.02,0
0.44,1.01,1.21,0.1,0.19,0
0.39,1.09,0.91,0.08,0.3,0
0.52,1.25,0.9,0.17,0.07,0
0.47,1.01,0.94,0.27,0.04,0
0.44,0.93,0.99,0.17,0.06,0
0.45,0.99,1.0,0.06,0.02,0
0.44,1.12,1.07,0.13,0.08,0
0.43,1.12,1.07,0.02,0.02,0
0.42,1.1,1.06,0.02,0.02,0
0.43,1.11,1.06,0.01,0.01,0
0.47,1.11,1.07,0.02,0.02,0
0.47,1.1,1.06,0.01,0.01,0
0.46,1.1,1.06,0.01,0.0,0
0.47,1.1,1.06,0.01,0.0,0
0.48,1.09,1.06,0.01,0.01,0
0.51,1.1,1.07,0.02,0.01,0
0.6,1.16,1.13,0.09,0.07,0
0.87,1.03,0.98,0.24,0.17,0
0.82,0.91,0.89,0.2,0.16,0
0.64,1.02,0.96,0.17,0.12,0
0.52,1.2,1.16,0.2,0.21,0
0.47,1.37,1.33,0.17,0.17,0
0.37,0.93,0.88,0.45,0.45,0
0.37,0.93,0.91,0.04,0.04,0
0.39,0.97,0.97,0.05,0.07,0
0.4,1.05,1.03,0.08,0.06,0
0.36,1.08,1.03,0.04,0.04,0
0.39,1.03,0.99,0.07,0.05,0
0.39,1.04,0.99,0.01,0.01,0
0.4,1.06,1.02,0.04,0.04,0
0.55,1.16,1.02,0.15,0.03,0
1.07,1.31,1.06,0.51,0.06,0
0.92,1.04,1.07,0.37,0.07,0
0.65,0.99,1.14,0.34,0.11,0
0.61,1.08,1.35,0.26,0.27,0
0.88,1.09,1.61,0.01,0.33,0
0.69,1.09,1.45,0.06,0.26,0
0.36,1.05,1.07,0.06,0.42,0
0.33,1.0,1.03,0.05,0.04,0
0.36,1.24,1.22,0.25,0.2,0
0.45,1.03,1.01,0.25,0.22,0
0.36,0.92,0.92,0.24,0.15,0
0.44,1.18,1.19,0.3,0.32,0
1.16,1.28,1.3,0.44,0.34,0
0.69,1.38,1.35,0.27,0.24,0
0.29,0.87,0.86,0.58,0.53,0
0.36,0.88,0.86,0.02,0.07,0
0.37,0.95,0.92,0.09,0.08,0
0.48,1.17,1.07,0.27,0.17,0
1.05,1.72,1.14,0.66,0.09,0
0.9,1.6,1.13,0.17,0.04,0
0.57,1.17,1.13,0.49,0.04,0
0.5,1.06,1.21,0.22,0.12,0
0.63,1.05,1.37,0.02,0.18,0
0.92,1.07,1.64,0.04,0.33,0
0.58,1.09,1.37,0.04,0.33,0
0.34,1.07,1.12,0.02,0.3,0
0.31,1.01,1.06,0.07,0.08,0
0.16,1.0,1.15,0.1,0.18,0
0.61,1.03,1.23,0.3,0.3,0
0.94,1.12,1.19,0.26,0.23,0
0.48,1.0,1.04,0.3,0.23,0
0.45,1.23,1.22,0.24,0.19,0
0.44,1.37,1.34,0.14,0.12,0
0.29,0.89,0.89,0.51,0.47,0
0.35,0.98,0.92,0.09,0.05,0
0.37,1.11,1.04,0.14,0.14,0
0.48,1.02,1.37,0.13,0.33,0
0.41,1.09,1.14,0.08,0.26,0
0.36,1.19,0.95,0.13,0.27,0
0.2,1.18,1.08,0.13,0.13,0
0.38,1.17,1.13,0.15,0.08,0
0.8,1.1,1.32,0.1,0.38,0
0.74,1.12,1.24,0.05,0.23,0
0.41,1.03,1.01,0.14,0.31,0
0.54,1.18,1.19,0.18,0.23,0
0.79,1.38,1.43,0.24,0.28,0
1.15,1.68,1.61,0.42,0.31,0
0.76,1.4,1.38,0.35,0.33,0
0.5,1.34,1.27,0.18,0.15,0
0.55,0.94,1.22,0.42,0.07,0
0.5,1.22,1.22,0.3,0.01,0
0.98,1.32,1.2,0.5,0.04,0
0.77,1.15,1.18,0.24,0.05,0
0.52,1.3,1.28,0.28,0.11,0
0.37,1.39,1.35,0.15,0.08,0
0.27,0.93,0.92,0.47,0.43,0
0.33,0.97,0.95,0.05,0.06,0
0.47,1.1,1.01,0.17,0.09,0
0.98,1.0,1.02,0.56,0.03,0
0.76,0.93,1.05,0.21,0.11,0
0.86,0.94,1.05,0.24,0.33,0
0.69,0.91,0.95,0.04,0.23,0
0.45,1.03,1.06,0.18,0.22,0
0.6,1.3,1.35,0.29,0.31,0
1.14,1.65,1.66,0.44,0.42,0
1.02,1.65,1.62,0.27,0.22,0
0.61,1.29,1.49,0.46,0.3,0
0.38,1.13,0.91,0.23,0.6,0
0.62,1.31,0.83,0.2,0.2,0
0.39,0.87,0.92,0.44,0.1,0
0.34,0.82,0.89,0.11,0.03,0
0.35,0.86,0.88,0.12,0.08,0
0.42,1.47,1.4,0.63,0.53,0
0.45,1.6,1.52,0.23,0.2,0
0.46,1.3,1.33,0.31,0.19,0
0.48,1.04,1.06,0.28,0.28,0
0.46,1.02,1.01,0.05,0.06,0
0.34,1.31,1.25,0.31,0.27,0
0.35,0.88,0.87,0.43,0.39,0
0.44,0.85,0.84,0.08,0.08,0
0.36,0.88,0.89,0.08,0.09,0
0.38,1.05,1.05,0.26,0.23,0
0.4,1.55,1.47,0.52,0.44,0
0.38,1.47,1.41,0.08,0.06,0
0.33,0.93,0.9,0.55,0.51,0
0.5,0.97,0.95,0.14,0.13,0
0.58,1.32,1.33,0.37,0.41,0
1.42,1.28,1.27,0.45,0.41,0
0.99,1.07,1.08,0.35,0.34,0
0.42,0.91,0.9,0.39,0.28,0
0.44,0.99,1.02,0.1,0.17,0
0.72,1.31,1.36,0.37,0.38,0
1.19,1.77,1.72,0.59,0.46,0
0.75,1.32,1.33,0.53,0.46,0
0.45,1.04,1.05,0.33,0.3,0
0.41,1.15,1.12,0.13,0.09,0
0.35,1.1,1.09,0.07,0.08,0
0.33,0.85,0.85,0.35,0.32,0
0.56,0.88,1.16,0.05,0.35,0
0.7,0.9,1.35,0.03,0.2,0
0.56,0.96,0.88,0.09,0.48,0
0.66,1.27,0.92,0.34,0.13,0
0.69,1.38,1.0,0.12,0.09,0
0.58,0.87,0.98,0.52,0.03,0
0.42,0.92,0.94,0.14,0.05,0
0.38,1.16,1.11,0.28,0.2,0
0.39,1.46,1.41,0.32,0.31,0
0.3,0.91,0.89,0.55,0.52,0
0.34,0.81,0.82,0.11,0.08,0
0.35,1.26,1.25,0.5,0.47,0
0.38,1.47,1.43,0.26,0.2,0
0.38,1.03,1.16,0.44,0.27,0
0.61,0.95,1.31,0.12,0.18,0
0.88,1.0,1.21,0.07,0.41,0
0.61,0.99,0.97,0.01,0.39,0
0.43,1.0,0.98,0.08,0.12,0
0.31,1.03,1.05,0.05,0.12,0
0.52,1.19,1.07,0.24,0.04,0
1.12,1.3,1.05,0.57,0.1,0
0.85,0.96,0.98,0.4,0.08,0
0.37,0.99,0.98,0.44,0.09,0
0.36,1.03,1.19,0.11,0.24,0
