distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.26,1.06,1.28,0.0,0.0,1
0.25,1.07,1.27,0.01,0.01,1
0.24,1.07,1.27,0.0,0.01,1
0.24,1.07,1.27,0.0,0.0,1
0.2,1.13,1.26,0.06,0.05,1
0.23,1.13,1.21,0.02,0.09,1
0.22,1.14,1.19,0.01,0.02,1
0.18,1.16,1.19,0.03,0.01,1
0.24,1.15,1.18,0.03,0.02,1
0.19,1.12,1.17,0.05,0.01,1
0.24,1.15,1.2,0.05,0.04,1
0.37,1.22,1.25,0.15,0.07,1
1.18,1.25,1.24,0.4,0.41,1
0.98,1.26,1.28,0.12,0.12,1
0.84,1.27,1.27,0.09,0.07,1
0.65,1.22,1.22,0.11,0.1,1
0.34,1.13,1.02,0.22,0.28,1
0.45,1.33,1.01,0.2,0.04,1
0.41,1.31,1.03,0.05,0.02,1
0.35,0.98,1.05,0.33,0.02,1
0.39,1.13,1.07,0.17,0.04,1
0.37,1.13,0.97,0.05,0.1,1
0.36,1.14,1.22,0.01,0.26,1
0.3,1.15,1.17,0.03,0.05,1
0.29,1.15,1.16,0.01,0.01,1
0.23,1.15,1.13,0.03,0.05,1
0.28,1.14,1.11,0.03,0.03,1
0.28,1.15,1.11,0.03,0.02,1
0.34,1.17,1.12,0.02,0.04,1
0.43,1.2,1.11,0.07,0.05,1
0.45,1.21,1.08,0.06,0.06,1
0.35,1.08,0.99,0.17,0.09,1
0.35,1.2,1.14,0.14,0.16,1
0.4,1.16,1.09,0.05,0.06,1
0.43,1.0,0.96,0.17,0.13,1
0.58,1.3,1.24,0.32,0.28,1
0.66,0.87,0.93,0.43,0.32,1
0.48,1.08,1.06,0.23,0.17,1
0.47,1.18,1.17,0.11,0.12,1
0.37,1.36,1.35,0.21,0.2,1
0.28,0.88,0.92,0.52,0.47,1
0.37,0.8,0.85,0.16,0.12,1
0.29,0.94,0.99,0.17,0.16,1
0.22,0.92,0.96,0.1,0.04,1
0.21,0.89,0.95,0.07,0.05,1
0.25,0.94,1.01,0.06,0.06,1
0.28,0.92,1.0,0.05,0.02,1
0.39,0.92,1.16,0.01,0.17,1
0.45,0.9,1.25,0.03,0.1,1
0.78,0.89,1.32,0.01,0.38,1
0.4,1.01,1.18,0.13,0.31,1
0.38,1.11,1.19,0.15,0.12,1
0.45,1.09,1.18,0.12,0.01,1
1.02,1.75,1.21,0.77,0.04,1
0.96,1.72,1.22,0.16,0.02,1
0.73,1.57,1.22,0.24,0.01,1
0.57,1.54,1.34,0.17,0.14,1
0.42,1.55,1.4,0.1,0.09,1
0.4,1.41,1.23,0.24,0.29,1
0.32,0.81,0.89,0.6,0.36,1
0.25,0.99,1.04,0.2,0.16,1
1.21,1.34,1.28,0.57,0.57,1
0.57,1.41,1.36,0.29,0.39,1
0.24,0.89,0.93,0.55,0.46,1
0.3,0.92,0.99,0.05,0.07,1
0.28,1.0,1.06,0.1,0.08,1
0.35,0.95,1.1,0.06,0.07,1
