distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.92,1.35,0.71,0.0,0.0,1
0.77,1.33,0.76,0.04,0.16,1
0.69,1.13,0.74,0.22,0.04,1
0.34,1.18,1.15,0.09,0.52,1
0.34,1.18,1.27,0.04,0.13,1
0.34,1.21,1.31,0.04,0.05,1
0.34,1.24,1.34,0.04,0.04,1
0.35,1.26,1.25,0.03,0.11,1
0.43,1.24,1.25,0.06,0.04,1
0.41,1.28,1.29,0.05,0.05,1
0.45,1.3,1.31,0.05,0.03,1
1.28,1.3,1.27,0.46,0.41,1
0.71,1.31,1.28,0.32,0.26,1
0.37,1.06,0.82,0.31,0.53,1
0.62,1.05,0.82,0.09,0.23,1
0.54,1.1,1.0,0.06,0.21,1
0.45,1.1,1.0,0.05,0.04,1
0.52,1.12,0.89,0.05,0.15,1
0.56,1.13,0.91,0.02,0.07,1
0.58,0.69,1.03,0.5,0.12,1
0.69,0.74,1.23,0.1,0.26,1
0.55,0.76,0.72,0.06,0.52,1
0.61,0.8,0.72,0.1,0.02,1
0.39,1.01,1.02,0.28,0.4,1
0.25,1.2,1.24,0.21,0.24,1
0.39,1.06,1.26,0.17,0.02,1
0.62,1.36,0.9,0.33,0.36,1
0.78,0.84,1.44,0.52,0.55,1
0.39,0.83,0.8,0.07,0.64,1
0.25,0.76,0.73,0.16,0.16,1
0.32,0.75,0.68,0.02,0.13,1
0.31,0.75,0.69,0.0,0.01,1
0.32,0.76,0.7,0.01,0.04,1
0.91,1.08,1.03,0.41,0.56,1
0.86,1.35,1.37,0.27,0.35,1
1.01,0.79,0.82,0.68,0.61,1
0.69,0.78,0.7,0.15,0.25,1
0.38,1.01,0.98,0.36,0.4,1
0.32,1.12,1.15,0.11,0.18,1
0.31,1.19,1.24,0.08,0.1,1
0.48,0.74,0.71,0.48,0.6,1
0.45,0.77,0.74,0.07,0.09,1
0.41,0.76,0.74,0.06,0.01,1
0.43,0.75,0.73,0.03,0.04,1
0.46,0.75,0.71,0.04,0.05,1
0.49,0.74,0.77,0.02,0.12,1
0.48,0.74,0.76,0.01,0.02,1
0.55,0.73,0.94,0.01,0.24,1
0.81,0.74,1.31,0.04,0.39,1
1.07,0.76,1.2,0.06,0.69,1
0.71,0.85,0.79,0.18,0.48,1
0.71,1.11,0.7,0.3,0.32,1
0.77,1.26,0.7,0.15,0.06,1
1.19,1.66,0.68,0.61,0.07,1
0.97,1.52,0.7,0.23,0.07,1
0.47,1.17,0.99,0.4,0.35,1
0.3,1.13,1.11,0.07,0.16,1
0.27,1.17,1.2,0.04,0.1,1
0.45,0.73,0.75,0.48,0.49,1
0.43,0.98,0.94,0.37,0.27,1
0.51,1.25,1.23,0.28,0.3,1
1.2,1.25,1.21,0.44,0.45,1
0.39,1.03,1.06,0.52,0.47,1
0.38,0.75,0.7,0.33,0.47,1
0.35,0.75,0.73,0.01,0.07,1
0.3,0.74,0.77,0.05,0.06,1
0.62,0.73,1.17,0.02,0.46,1
1.28,0.76,1.74,0.06,0.78,1
1.28,0.76,1.66,0.03,0.13,1
0.74,0.76,0.98,0.03,0.71,1
0.31,0.78,0.72,0.02,0.49,1
0.8,1.3,0.69,0.57,0.04,1
1.29,1.75,0.68,0.61,0.02,1
0.9,1.41,0.71,0.42,0.06,1
0.43,1.28,0.86,0.5,0.26,1
0.42,1.29,1.02,0.1,0.22,1
0.42,1.29,1.02,0.04,0.03,1
1.05,1.21,0.94,0.68,0.68,1
0.92,1.22,1.02,0.09,0.11,1
0.4,1.16,1.11,0.24,0.33,1
0.28,1.13,1.13,0.05,0.08,1
0.28,1.08,1.1,0.05,0.04,1
0.42,0.74,0.71,0.39,0.48,1
0.39,0.82,0.72,0.14,0.05,1
0.42,0.82,0.7,0.03,0.04,1
0.66,1.14,0.69,0.33,0.03,1
0.47,0.84,0.71,0.31,0.03,1
0.51,0.83,0.7,0.03,0.03,1
0.52,0.96,0.7,0.15,0.05,1
0.63,1.08,0.69,0.13,0.02,1
1.0,1.26,0.7,0.48,0.03,1
0.98,1.17,0.69,0.28,0.03,1
0.61,0.86,0.78,0.49,0.21,1
0.42,1.16,1.13,0.38,0.44,1
0.75,1.49,1.46,0.39,0.35,1
0.9,1.63,1.65,0.35,0.34,1
0.66,0.97,1.4,0.7,0.36,1
0.52,0.83,0.81,0.16,0.59,1
0.36,0.8,0.8,0.06,0.12,1
0.53,0.78,1.17,0.06,0.4,1
1.0,0.8,1.17,0.05,0.75,1
0.78,0.87,1.06,0.11,0.27,1
0.36,1.1,1.09,0.25,0.38,1
0.32,1.18,1.24,0.08,0.16,1
0.44,0.74,0.72,0.47,0.59,1
0.47,0.75,0.93,0.01,0.32,1
0.56,0.74,1.09,0.05,0.16,1
0.81,0.82,0.92,0.16,0.63,1
0.6,1.0,0.7,0.22,0.41,1
0.84,1.07,0.74,0.59,0.19,1
0.59,0.86,0.73,0.32,0.01,1
0.37,0.79,0.78,0.21,0.09,1
0.53,1.34,1.33,0.61,0.64,1
1.13,1.73,1.67,0.6,0.51,1
0.72,1.53,1.32,0.3,0.42,1
0.64,1.3,0.87,0.31,0.5,1
0.67,0.7,1.14,0.65,0.29,1
0.75,0.72,1.33,0.04,0.25,1
0.42,0.73,0.69,0.03,0.67,1
0.36,0.73,0.73,0.05,0.08,1
0.36,0.75,0.72,0.05,0.01,1
0.38,1.48,1.43,0.74,0.74,1
0.28,1.33,1.37,0.16,0.09,1
0.28,1.23,1.27,0.1,0.1,1
0.33,1.22,1.27,0.01,0.03,1
0.32,1.2,1.26,0.02,0.01,1
0.4,0.99,1.06,0.22,0.25,1
0.44,0.74,0.74,0.32,0.44,1
0.38,0.76,0.76,0.05,0.06,1
0.37,0.75,0.76,0.01,0.01,1
0.38,1.54,1.51,0.79,0.76,1
0.29,1.49,1.49,0.05,0.11,1
0.28,1.41,1.43,0.09,0.09,1
0.4,0.72,0.71,0.71,0.76,1
0.34,1.09,1.06,0.49,0.52,1
0.38,1.24,1.24,0.15,0.18,1
1.14,1.34,1.31,0.55,0.51,1
0.68,1.09,1.08,0.44,0.37,1
0.45,1.1,1.1,0.11,0.14,1
0.59,1.34,1.37,0.25,0.28,1
0.87,1.57,1.57,0.29,0.23,1
1.03,1.71,1.7,0.36,0.29,1
0.46,1.28,1.31,0.56,0.48,1
0.23,1.08,1.11,0.22,0.25,1
0.28,1.15,1.18,0.09,0.07,1
0.46,0.72,0.75,0.47,0.46,1
0.57,0.85,0.71,0.19,0.14,1
0.72,1.16,0.72,0.32,0.02,1
0.78,1.16,0.72,0.06,0.02,1
0.6,0.71,0.91,0.52,0.24,1
0.88,0.77,1.4,0.14,0.51,1
0.94,0.75,1.28,0.1,0.18,1
0.68,0.78,0.69,0.05,0.7,1
0.54,0.87,0.81,0.13,0.29,1
0.39,1.14,1.17,0.28,0.39,1
0.33,1.1,1.18,0.06,0.07,1
0.35,0.77,0.75,0.34,0.47,1
0.31,0.77,0.76,0.03,0.02,1
0.34,1.35,1.32,0.59,0.59,1
0.28,1.22,1.15,0.14,0.19,1
0.39,1.1,0.84,0.12,0.34,1
0.67,1.18,0.67,0.09,0.24,1
0.95,1.29,0.72,0.41,0.14,1
0.54,0.99,0.8,0.36,0.16,1
0.58,0.78,1.19,0.23,0.44,1
0.73,0.73,1.28,0.09,0.09,1
0.83,0.73,1.33,0.04,0.15,1
1.05,0.8,1.28,0.11,0.63,1
0.6,0.87,0.88,0.14,0.49,1
0.55,1.08,0.73,0.22,0.27,1
0.7,1.15,0.74,0.12,0.06,1
0.73,0.74,0.76,0.61,0.02,1
0.39,0.71,0.81,0.23,0.2,1
0.61,0.71,1.18,0.01,0.42,1
0.77,0.72,0.96,0.01,0.5,1
0.86,0.95,0.72,0.31,0.66,1
0.59,0.94,0.79,0.16,0.37,1
0.61,0.72,1.07,0.34,0.3,1
0.74,0.72,1.27,0.11,0.27,1
0.55,0.75,0.68,0.05,0.65,1
0.5,0.82,0.78,0.14,0.2,1
