distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.54,0.69,1.0,0.0,0.0,1
0.56,0.69,0.99,0.02,0.01,1
0.5,0.7,0.99,0.08,0.01,1
0.51,0.69,0.99,0.03,0.01,1
0.52,0.69,0.97,0.01,0.02,1
0.39,0.74,0.94,0.14,0.03,1
0.42,0.71,0.87,0.05,0.08,1
0.41,0.7,0.77,0.02,0.12,1
0.33,0.75,0.78,0.13,0.02,1
0.31,1.0,0.95,0.3,0.2,1
0.3,1.16,1.11,0.17,0.17,1
0.64,1.25,1.2,0.23,0.16,1
0.9,1.27,1.24,0.23,0.24,1
0.41,0.92,0.92,0.46,0.4,1
0.39,0.69,0.79,0.32,0.16,1
0.44,0.67,0.83,0.07,0.05,1
0.42,0.68,0.82,0.02,0.01,1
0.44,0.68,0.85,0.01,0.04,1
0.57,0.68,1.08,0.0,0.24,1
0.38,0.69,0.71,0.03,0.38,1
0.41,0.8,0.72,0.17,0.05,1
0.49,0.88,0.73,0.19,0.01,1
0.45,0.68,0.74,0.34,0.01,1
0.39,0.7,0.72,0.07,0.02,1
0.39,0.69,0.72,0.02,0.02,1
0.39,0.7,0.71,0.01,0.01,1
0.4,0.7,0.7,0.01,0.03,1
0.39,0.69,0.7,0.02,0.01,1
0.39,0.69,0.69,0.01,0.01,1
0.4,0.69,0.7,0.01,0.01,1
0.6,0.78,0.74,0.17,0.11,1
0.86,1.07,0.97,0.34,0.29,1
0.89,1.17,1.09,0.1,0.12,1
1.01,1.24,1.16,0.09,0.1,1
1.04,1.33,1.26,0.1,0.1,1
1.13,0.86,0.83,0.5,0.46,1
0.89,0.71,0.75,0.38,0.22,1
0.6,0.81,0.85,0.43,0.36,1
0.36,1.2,1.12,0.44,0.32,1
0.3,1.29,1.21,0.1,0.1,1
0.29,0.7,0.73,0.63,0.5,1
0.32,0.71,0.75,0.02,0.04,1
0.3,0.76,0.77,0.1,0.04,1
0.29,0.87,0.78,0.14,0.02,1
0.3,0.86,0.77,0.01,0.01,1
0.31,0.83,0.77,0.04,0.01,1
0.32,0.89,0.77,0.06,0.0,1
0.27,0.88,0.79,0.03,0.02,1
0.54,1.14,0.74,0.28,0.09,1
1.05,1.23,0.77,0.74,0.06,1
0.74,0.82,0.77,0.45,0.03,1
0.47,0.71,0.91,0.42,0.17,1
0.5,0.7,1.02,0.08,0.11,1
1.17,0.66,1.62,0.11,0.67,1
1.01,0.67,1.55,0.02,0.25,1
0.4,0.83,1.05,0.21,0.55,1
0.27,1.09,1.05,0.27,0.02,1
0.25,1.13,1.07,0.05,0.02,1
0.44,0.8,0.75,0.38,0.32,1
0.45,0.9,0.92,0.11,0.21,1
0.46,1.19,1.17,0.29,0.26,1
1.21,1.2,1.23,0.48,0.48,1
0.43,1.33,1.28,0.42,0.45,1
0.37,0.67,0.71,0.71,0.58,1
0.32,0.73,0.75,0.15,0.07,1
0.28,0.77,0.74,0.06,0.03,1
0.33,0.93,0.72,0.17,0.02,1
1.15,1.61,0.74,0.84,0.03,1
1.28,1.74,0.77,0.45,0.06,1
0.89,1.26,0.79,0.55,0.05,1
0.36,0.77,0.81,0.63,0.02,1
0.38,0.7,0.96,0.16,0.16,1
1.25,0.65,1.69,0.11,0.91,1
0.89,0.72,1.31,0.16,0.5,1
0.3,0.95,1.23,0.38,0.53,1
0.38,1.0,1.22,0.1,0.11,1
0.4,1.0,1.23,0.01,0.01,1
0.66,0.9,1.17,0.44,0.51,1
0.69,0.97,1.17,0.08,0.09,1
0.37,0.95,1.02,0.14,0.22,1
0.31,0.93,0.97,0.05,0.05,1
0.27,1.05,1.05,0.13,0.08,1
0.4,0.71,0.68,0.36,0.4,1
0.37,0.73,0.71,0.05,0.05,1
0.35,0.7,0.73,0.09,0.03,1
0.46,0.68,0.86,0.08,0.15,1
0.53,0.68,1.01,0.02,0.16,1
0.41,0.68,0.76,0.0,0.25,1
0.49,0.68,0.96,0.02,0.23,1
0.53,0.68,1.01,0.01,0.05,1
0.7,0.68,1.16,0.01,0.19,1
0.83,0.68,1.23,0.02,0.27,1
0.44,0.75,0.85,0.14,0.43,1
0.28,0.88,0.89,0.21,0.12,1
0.54,1.33,1.35,0.49,0.48,1
0.89,1.52,1.58,0.36,0.4,1
0.63,1.18,0.69,0.45,0.92,1
0.65,0.9,0.66,0.3,0.13,1
0.5,0.67,0.67,0.46,0.04,1
0.51,1.0,0.68,0.48,0.06,1
0.94,1.13,0.69,0.61,0.03,1
0.71,0.89,0.7,0.32,0.05,1
0.48,1.1,1.06,0.32,0.38,1
0.36,1.23,1.16,0.15,0.12,1
0.35,0.69,0.69,0.57,0.49,1
0.37,0.79,0.71,0.2,0.07,1
0.53,0.99,0.68,0.22,0.09,1
0.75,0.91,0.7,0.49,0.07,1
0.43,0.71,0.84,0.33,0.21,1
0.97,0.76,0.95,0.09,0.53,1
0.58,0.81,0.83,0.18,0.27,1
0.45,0.87,0.8,0.14,0.28,1
0.41,0.88,0.84,0.11,0.07,1
1.11,1.76,1.79,0.95,1.02,1
0.72,1.62,1.61,0.26,0.31,1
0.64,0.94,1.38,0.69,0.32,1
0.8,1.16,0.6,0.27,0.78,1
1.02,1.42,0.74,0.32,0.5,1
0.81,0.65,0.94,0.77,0.29,1
0.6,0.73,0.8,0.13,0.34,1
0.3,0.7,0.71,0.22,0.12,1
0.4,1.33,1.37,0.64,0.66,1
0.39,0.8,0.83,0.53,0.54,1
0.42,0.71,0.75,0.11,0.11,1
0.33,0.75,0.8,0.05,0.09,1
0.3,0.98,1.0,0.26,0.22,1
0.28,1.19,1.13,0.22,0.14,1
0.45,0.69,0.68,0.58,0.49,1
0.48,0.74,0.69,0.17,0.05,1
0.41,0.7,0.71,0.06,0.05,1
0.44,1.25,1.38,0.62,0.69,1
0.41,1.52,1.51,0.41,0.27,1
0.32,1.5,1.47,0.06,0.07,1
0.35,0.73,0.7,0.78,0.77,1
0.43,0.91,0.98,0.2,0.36,1
0.31,1.15,1.18,0.25,0.21,1
1.25,1.18,1.26,0.58,0.65,1
1.02,1.1,1.2,0.16,0.32,1
0.69,0.88,1.09,0.3,0.28,1
0.49,0.81,0.93,0.12,0.19,1
0.52,1.21,1.24,0.45,0.32,1
0.89,1.7,1.75,0.67,0.72,1
0.52,1.43,1.41,0.35,0.43,1
0.4,1.23,1.23,0.25,0.21,1
0.33,1.22,1.18,0.1,0.06,1
0.37,0.74,0.7,0.49,0.49,1
0.48,0.66,0.73,0.29,0.06,1
0.67,0.66,1.02,0.01,0.3,1
0.76,0.67,1.17,0.09,0.17,1
0.6,0.68,0.67,0.04,0.58,1
0.71,1.04,0.68,0.43,0.19,1
0.93,1.4,0.7,0.38,0.07,1
0.69,0.65,0.74,0.86,0.08,1
0.62,0.71,0.74,0.37,0.04,1
0.51,1.16,1.11,0.52,0.39,1
0.31,1.26,1.21,0.16,0.13,1
0.33,0.64,0.65,0.68,0.59,1
0.31,0.66,0.69,0.06,0.07,1
0.37,1.42,1.47,0.81,0.79,1
0.32,1.34,1.34,0.11,0.14,1
0.43,0.69,0.9,0.67,0.44,1
0.59,0.67,1.04,0.07,0.15,1
0.91,0.7,1.26,0.14,0.53,1
0.89,0.7,1.28,0.07,0.27,1
0.63,0.74,1.06,0.07,0.32,1
0.52,1.07,0.74,0.41,0.38,1
0.72,1.27,0.76,0.23,0.03,1
1.2,1.33,0.84,0.85,0.12,1
0.82,0.92,0.89,0.45,0.16,1
0.47,0.71,1.03,0.61,0.15,1
0.64,0.68,1.18,0.07,0.21,1
0.6,0.69,0.68,0.02,0.75,1
0.38,0.82,0.69,0.23,0.37,1
0.63,1.2,0.68,0.4,0.1,1
0.82,0.92,0.71,0.57,0.03,1
0.53,0.94,0.92,0.17,0.29,1
0.3,1.05,1.11,0.26,0.19,1
0.47,1.07,0.75,0.06,0.36,1
0.4,1.12,0.92,0.1,0.19,1
0.59,0.66,0.96,0.5,0.07,1
0.52,0.76,1.01,0.15,0.06,1
0.23,1.14,1.1,0.4,0.13,1
0.23,1.08,1.04,0.09,0.1,1
0.37,0.7,0.7,0.43,0.37,1
0.27,1.01,0.98,0.35,0.3,1
0.19,1.05,1.05,0.09,0.08,1
0.2,1.07,1.1,0.02,0.05,1
0.29,1.06,1.14,0.02,0.07,1
0.56,1.3,1.32,0.34,0.19,1
0.91,1.58,1.61,0.48,0.49,1
0.33,1.16,1.17,0.57,0.63,1
0.18,0.99,0.97,0.21,0.21,1
0.22,0.95,0.94,0.06,0.05,1
0.21,0.95,0.95,0.03,0.01,1
0.2,0.94,0.95,0.01,0.01,1
0.21,0.95,0.96,0.01,0.02,1
0.24,0.98,1.01,0.05,0.06,1
0.34,1.15,1.17,0.2,0.19,1
1.05,1.25,1.31,0.45,0.38,1
0.44,0.88,0.96,0.47,0.51,1
0.73,0.93,0.92,0.31,0.06,1
0.91,1.38,0.99,0.46,0.13,1
0.77,0.98,0.9,0.47,0.2,1
0.77,0.99,1.41,0.13,0.51,1
0.46,1.06,1.14,0.08,0.35,1
0.28,1.14,1.16,0.08,0.15,1
0.39,1.0,0.92,0.21,0.25,1
0.49,1.15,1.19,0.16,0.29,1
0.97,1.21,1.27,0.32,0.27,1
0.5,1.07,1.02,0.27,0.35,1
0.4,1.06,1.01,0.05,0.05,1
0.37,1.11,1.06,0.06,0.05,1
0.3,1.25,1.21,0.15,0.15,1
0.31,0.8,0.81,0.45,0.4,1
